,EmployeeNo,Promoted_or_Not
0,YAK/S/00005,1
1,YAK/S/00011,1
2,YAK/S/00015,1
3,YAK/S/00016,1
4,YAK/S/00017,1
5,YAK/S/00019,1
6,YAK/S/00027,1
7,YAK/S/00028,1
8,YAK/S/00031,1
9,YAK/S/00032,1
10,YAK/S/00034,1
11,YAK/S/00038,1
12,YAK/S/00040,1
13,YAK/S/00041,1
14,YAK/S/00043,1
15,YAK/S/00045,1
16,YAK/S/00047,1
17,YAK/S/00049,1
18,YAK/S/00050,1
19,YAK/S/00051,1
20,YAK/S/00058,1
21,YAK/S/00060,1
22,YAK/S/00063,1
23,YAK/S/00067,1
24,YAK/S/00069,1
25,YAK/S/00072,1
26,YAK/S/00080,1
27,YAK/S/00083,1
28,YAK/S/00084,1
29,YAK/S/00088,1
30,YAK/S/00092,1
31,YAK/S/00096,1
32,YAK/S/00099,1
33,YAK/S/00101,1
34,YAK/S/00104,1
35,YAK/S/00111,1
36,YAK/S/00114,1
37,YAK/S/00119,1
38,YAK/S/00132,1
39,YAK/S/00137,1
40,YAK/S/00146,1
41,YAK/S/00149,1
42,YAK/S/00151,1
43,YAK/S/00152,1
44,YAK/S/00157,1
45,YAK/S/00163,1
46,YAK/S/00164,1
47,YAK/S/00171,1
48,YAK/S/00174,1
49,YAK/S/00178,1
50,YAK/S/00179,1
51,YAK/S/00187,1
52,YAK/S/00191,1
53,YAK/S/00195,1
54,YAK/S/00197,1
55,YAK/S/00204,1
56,YAK/S/00205,1
57,YAK/S/00208,1
58,YAK/S/00213,1
59,YAK/S/00216,1
60,YAK/S/00218,1
61,YAK/S/00219,1
62,YAK/S/00228,1
63,YAK/S/00235,1
64,YAK/S/00240,1
65,YAK/S/00242,1
66,YAK/S/00246,1
67,YAK/S/00247,1
68,YAK/S/00252,1
69,YAK/S/00253,1
70,YAK/S/00254,1
71,YAK/S/00261,1
72,YAK/S/00263,1
73,YAK/S/00264,1
74,YAK/S/00266,1
75,YAK/S/00267,1
76,YAK/S/00268,1
77,YAK/S/00269,1
78,YAK/S/00276,1
79,YAK/S/00279,1
80,YAK/S/00280,1
81,YAK/S/00284,1
82,YAK/S/00289,1
83,YAK/S/00291,1
84,YAK/S/00299,1
85,YAK/S/00301,1
86,YAK/S/00303,1
87,YAK/S/00308,1
88,YAK/S/00311,1
89,YAK/S/00319,1
90,YAK/S/00324,1
91,YAK/S/00325,1
92,YAK/S/00326,1
93,YAK/S/00329,1
94,YAK/S/00331,1
95,YAK/S/00332,1
96,YAK/S/00339,1
97,YAK/S/00340,1
98,YAK/S/00342,1
99,YAK/S/00356,1
100,YAK/S/00358,1
101,YAK/S/00363,1
102,YAK/S/00364,1
103,YAK/S/00367,1
104,YAK/S/00370,1
105,YAK/S/00376,1
106,YAK/S/00379,1
107,YAK/S/00380,1
108,YAK/S/00383,1
109,YAK/S/00390,1
110,YAK/S/00394,1
111,YAK/S/00395,1
112,YAK/S/00397,1
113,YAK/S/00400,1
114,YAK/S/00404,1
115,YAK/S/00407,1
116,YAK/S/00413,1
117,YAK/S/00416,1
118,YAK/S/00417,1
119,YAK/S/00418,1
120,YAK/S/00419,1
121,YAK/S/00420,1
122,YAK/S/00423,1
123,YAK/S/00428,1
124,YAK/S/00430,1
125,YAK/S/00432,1
126,YAK/S/00434,1
127,YAK/S/00436,1
128,YAK/S/00437,1
129,YAK/S/00439,1
130,YAK/S/00441,1
131,YAK/S/00445,1
132,YAK/S/00446,1
133,YAK/S/00448,1
134,YAK/S/00456,1
135,YAK/S/00457,1
136,YAK/S/00458,1
137,YAK/S/00459,1
138,YAK/S/00460,1
139,YAK/S/00463,1
140,YAK/S/00465,1
141,YAK/S/00466,1
142,YAK/S/00472,1
143,YAK/S/00473,1
144,YAK/S/00495,1
145,YAK/S/00496,1
146,YAK/S/00498,1
147,YAK/S/00500,1
148,YAK/S/00502,1
149,YAK/S/00509,1
150,YAK/S/00517,1
151,YAK/S/00521,1
152,YAK/S/00522,1
153,YAK/S/00525,1
154,YAK/S/00526,1
155,YAK/S/00529,1
156,YAK/S/00532,1
157,YAK/S/00533,1
158,YAK/S/00537,1
159,YAK/S/00541,1
160,YAK/S/00558,1
161,YAK/S/00567,1
162,YAK/S/00569,1
163,YAK/S/00574,1
164,YAK/S/00575,1
165,YAK/S/00583,1
166,YAK/S/00586,1
167,YAK/S/00588,1
168,YAK/S/00591,1
169,YAK/S/00598,1
170,YAK/S/00600,1
